iter	F1	Logloss
0	0.7620197968	0.5991205392
1	0.7893013823	0.5140550431
2	0.7937480569	0.479763602
3	0.8048743269	0.4400736575
4	0.8175451918	0.4141835532
5	0.8194213249	0.4020106957
6	0.8200673629	0.3962885192
7	0.8256812744	0.3902243824
8	0.8289400092	0.3846113212
9	0.8295178343	0.3772729706
10	0.8329873704	0.3752768801
11	0.8338469995	0.3716097252
12	0.8343043108	0.3695441475
13	0.8348243999	0.3659347924
14	0.8345358553	0.3656719514
15	0.8337929126	0.3639960672
16	0.8341297752	0.3628720542
17	0.8343649026	0.3605295257
18	0.8345681087	0.3598231405
19	0.835828507	0.3583883658
20	0.836394752	0.356080696
21	0.837026212	0.3544596696
22	0.8378350491	0.3536394651
23	0.8384841847	0.3528121696
24	0.8390280707	0.3521789888
25	0.8391709567	0.3515345479
26	0.8396952779	0.3513950843
27	0.8393325521	0.3508328012
28	0.8400579374	0.3498360362
29	0.8403203956	0.3494857475
30	0.8402439964	0.3490425578
31	0.8408160438	0.3482432071
32	0.8404632397	0.3474463287
33	0.840196254	0.3470090723
34	0.8407918525	0.3459263839
35	0.8406728004	0.3458885675
36	0.8409725717	0.3454360296
37	0.8405396353	0.344000199
38	0.8418684332	0.3435794236
39	0.8418069246	0.3434799952
40	0.8417304719	0.3432555026
41	0.8424709013	0.3424366188
42	0.8425187532	0.3421800158
43	0.8425091823	0.342180003
44	0.8425339184	0.3417866845
45	0.8427637564	0.3413434209
46	0.8426161374	0.3410861157
47	0.8432197906	0.3407782463
48	0.843415141	0.3404507992
49	0.8436141473	0.3397513531
50	0.8438070641	0.3396601824
51	0.8439447281	0.3396593761
52	0.8440883962	0.3396429548
53	0.8441398233	0.3393574002
54	0.8441589797	0.3385202593
55	0.8444950567	0.3383574772
56	0.8444950567	0.3383567361
57	0.8443609871	0.3383242563
58	0.8439698844	0.3375988931
59	0.8442774244	0.3373966914
60	0.8446483314	0.3373600149
61	0.8448145848	0.3368218184
62	0.8450895032	0.3368041428
63	0.8447566157	0.3363821689
64	0.8455214762	0.3355417898
65	0.8455214762	0.3355417796
66	0.8455568079	0.3349402245
67	0.8465015996	0.3346307313
68	0.8465910704	0.3342718564
69	0.8470433949	0.3335837697
70	0.8473292761	0.3329606158
71	0.8477437608	0.3323605377
72	0.8473922694	0.3312704949
73	0.848006269	0.3305960716
74	0.8476956539	0.3299649479
75	0.8481913801	0.3294590712
76	0.8485253643	0.3289571029
77	0.8488235453	0.3284140467
78	0.8491069669	0.3282174674
79	0.8496983458	0.3277846836
80	0.8499276408	0.327013861
81	0.8508350174	0.3265061579
82	0.8507079725	0.3260414946
83	0.8510423968	0.3251856025
84	0.8507096709	0.3248296486
85	0.8509523856	0.3244004896
86	0.8513621548	0.3236519776
87	0.8515194426	0.3230634403
88	0.851540195	0.3226454595
89	0.8516076844	0.3223993194
90	0.8522701762	0.3219820779
91	0.8525426598	0.3216959313
92	0.8521737505	0.3212795782
93	0.8527378591	0.3206957661
94	0.8532435887	0.3203431281
95	0.8535357474	0.3198862662
96	0.854185959	0.3194465576
97	0.8542831142	0.3192865089
98	0.8543898808	0.3190410967
99	0.8539826952	0.3188463759
100	0.8549516352	0.3180220637
101	0.8547967771	0.3175976624
102	0.855135403	0.3173429559
103	0.8554059912	0.3169314056
104	0.8554445939	0.3166277278
105	0.8555028703	0.3160027891
106	0.8557348286	0.3157128996
107	0.8554928521	0.3155779461
108	0.8558316375	0.3151218711
109	0.8561602936	0.3149318791
110	0.8556090306	0.3146123789
111	0.8562663448	0.3139920886
112	0.8573388415	0.3133217026
113	0.8575414485	0.3131595933
114	0.8575511124	0.312910998
115	0.8580529148	0.3122344931
116	0.8585346626	0.3119446963
117	0.8584867859	0.3117649287
118	0.8587473988	0.3113496598
119	0.8589209564	0.3110279391
120	0.8589983511	0.3108780421
121	0.8590370537	0.3108357394
122	0.8597690044	0.3103918999
123	0.8596149327	0.3101691365
124	0.8594995439	0.3101121483
125	0.859451154	0.3098612005
126	0.8596625457	0.3093288703
127	0.8595858983	0.309112958
128	0.8596826872	0.3090461033
129	0.8597399676	0.3089881912
130	0.860442099	0.3087181873
131	0.860529238	0.3083946263
132	0.8608369971	0.3080573133
133	0.8613359233	0.3074016288
134	0.8620184053	0.30663246
135	0.862209285	0.3062426082
136	0.8625922576	0.3059328035
137	0.8623337448	0.3055357359
138	0.8627182419	0.3052393477
139	0.8634657787	0.3050521647
140	0.8645458207	0.3046297666
141	0.8645673465	0.304188569
142	0.864633122	0.3041699447
143	0.8640961896	0.3035011344
144	0.8645167242	0.3029350648
145	0.8655777484	0.3024595
146	0.8660530728	0.3020485191
147	0.8662808395	0.3019181338
148	0.8662349044	0.3016650916
