iter	Passed	Remaining
0	235	46827
1	355	35176
2	440	28933
3	589	28866
4	687	26822
5	761	24635
6	833	22970
7	901	21641
8	967	20529
9	1171	22265
10	1240	21318
11	1328	20818
12	1415	20364
13	1527	20293
14	1584	19540
15	1643	18902
16	1765	19000
17	1857	18777
18	1909	18194
19	1969	17727
20	2024	17254
21	2072	16771
22	2143	16493
23	2215	16249
24	2276	15935
25	2345	15698
26	2454	15729
27	2509	15412
28	2571	15164
29	2642	14976
30	2704	14744
31	2768	14532
32	2825	14299
33	2903	14175
34	2962	13967
35	2987	13611
36	3056	13463
37	3118	13295
38	3171	13094
39	3207	12830
40	3243	12578
41	3294	12394
42	3336	12181
43	3348	11873
44	3433	11827
45	3489	11681
46	3551	11562
47	3606	11421
48	3671	11313
49	3734	11204
50	3799	11099
51	3832	10908
52	3859	10705
53	3911	10574
54	3954	10425
55	4003	10295
56	4021	10087
57	4043	9900
58	4099	9795
59	4142	9666
60	4160	9479
61	4212	9377
62	4228	9195
63	4282	9099
64	4338	9010
65	4354	8841
66	4439	8813
67	4492	8720
68	4544	8628
69	4610	8562
70	4690	8521
71	4740	8426
72	4792	8338
73	4848	8255
74	4911	8185
75	4976	8119
76	5031	8037
77	5082	7950
78	5126	7852
79	5185	7778
80	5221	7670
81	5261	7571
82	5314	7491
83	5368	7413
84	5453	7377
85	5508	7302
86	5559	7220
87	5606	7135
88	5662	7062
89	5721	6992
90	5769	6910
91	5818	6830
92	5872	6756
93	5931	6688
94	6027	6662
95	6083	6590
96	6136	6516
97	6187	6440
98	6245	6371
99	6297	6297
100	6338	6213
101	6389	6139
102	6457	6081
103	6519	6017
104	6572	5946
105	6626	5876
106	6690	5814
107	6743	5744
108	6797	5675
109	6857	5610
110	6906	5537
111	6965	5472
112	7058	5434
113	7126	5376
114	7205	5325
115	7280	5272
116	7369	5227
117	7491	5206
118	7545	5136
119	7599	5066
120	7648	4993
121	7697	4921
122	7757	4856
123	7807	4785
124	7859	4715
125	7917	4650
126	7977	4585
127	8039	4522
128	8080	4447
129	8109	4366
130	8168	4302
131	8222	4236
132	8281	4172
133	8454	4164
134	8519	4102
135	8583	4039
136	8638	3972
137	8697	3907
138	8751	3840
139	8802	3772
140	8859	3707
141	8918	3642
142	8960	3571
143	9018	3507
144	9067	3439
145	9118	3372
146	9168	3305
147	9221	3239
148	9273	3174
149	9314	3104
150	9368	3040
151	9477	2992
152	9533	2928
153	9594	2865
154	9682	2810
155	9736	2746
156	9785	2680
157	9825	2611
158	9879	2547
159	9939	2484
160	9974	2416
161	10048	2357
162	10094	2291
163	10134	2224
164	10195	2162
165	10246	2098
166	10295	2034
167	10343	1970
168	10402	1908
169	10483	1850
170	10545	1788
171	10595	1724
172	10658	1663
173	10712	1600
174	10769	1538
175	10821	1475
176	10883	1414
177	10943	1352
178	11019	1292
179	11082	1231
180	11128	1168
181	11176	1105
182	11228	1043
183	11282	981
184	11331	918
185	11393	857
186	11480	798
187	11522	735
188	11545	671
189	11591	610
190	11647	548
191	11697	487
192	11754	426
193	11909	368
194	12031	308
195	12101	246
196	12157	185
197	12212	123
198	12329	61
199	12384	0
